Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
0,1,Noel Acciari,29,FLA,C,31,4,7,11,6,4,0.9,3,1,0,1,4,2,1,53,7.5,493,15:54,46,67,217,202,51.8
1,2,Calen Addison,20,MIN,D,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,56,18:31,1,2,0,0,
2,3,Kenny Agostino,28,TOR,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,4,4:08,0,0,0,0,
3,4,Andrew Agozzino,30,ANA,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,26,12:45,6,4,13,10,56.5
4,5,Jack Ahcan,23,BOS,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,18,17:55,2,1,0,0,
5,6,Sebastian Aho,23,CAR,F,37,15,18,33,9,14,4.1,10,4,1,3,12,6,0,95,15.8,725,19:35,14,21,250,224,52.7
6,7,Sebastian Aho,24,NYI,D,3,1,1,2,-1,2,0.3,1,0,0,0,1,0,0,4,25.0,40,13:21,2,1,0,0,
7,8,Frederic Allard,23,NSH,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,17,16:59,1,0,0,0,
8,9,Mark Alt,29,LAK,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,27,13:35,1,2,0,0,
9,10,Michael Amadio,24,LAK,C,20,0,2,2,-5,2,-0.3,0,0,0,0,1,1,0,19,0.0,249,12:26,15,2,75,72,51.0
10,11,Joey Anderson,22,TOR,RW,1,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,,10,9:36,3,0,0,1,0.0
11,12,Josh Anderson,26,MTL,RW,32,14,5,19,2,32,2.6,12,1,1,3,4,1,0,85,16.5,505,15:48,16,83,6,1,85.7
12,13,Michael Anderson,21,LAK,D,35,0,7,7,1,16,1.9,0,0,0,0,6,0,1,33,0.0,739,21:07,44,38,0,0,
13,14,Jaret Anderson-Dolan,21,LAK,C,16,4,4,8,-2,6,0.9,3,1,0,2,4,0,0,18,22.2,237,14:49,7,33,79,72,52.3
14,15,Lias Andersson,22,LAK,C,13,2,0,2,-6,6,0.0,2,0,0,0,0,0,0,15,13.3,139,10:43,2,4,14,24,36.8
15,16,Rasmus Andersson,24,CGY,D,40,3,13,16,-14,26,2.0,2,1,0,0,8,5,0,70,4.3,850,21:16,50,34,0,0,
16,17,Andy Andreoff,29,PHI,LW,6,0,0,0,-6,9,-0.3,0,0,0,0,0,0,0,2,0.0,52,8:37,1,14,15,9,62.5
17,18,Anthony Angello,24,PIT,C,19,2,2,4,4,8,0.5,1,1,0,0,2,0,0,19,10.5,152,7:59,2,51,0,0,
18,19,Artem Anisimov,32,OTT,C,16,2,6,8,1,2,0.8,1,1,0,0,6,0,0,25,8.0,190,11:52,8,6,28,44,38.9
19,20,Mason Appleton,25,WPG,C,39,9,10,19,8,6,2.3,9,0,0,1,9,0,1,55,16.4,548,14:03,18,35,6,5,54.5
20,21,Josh Archibald,28,EDM,RW,35,6,2,8,-4,27,0.5,6,0,0,0,2,0,0,41,14.6,469,13:23,25,130,1,3,25.0
21,22,Joel Armia,27,MTL,RW,24,5,5,10,6,6,1.1,4,0,1,0,4,0,1,46,10.9,342,14:15,5,46,6,14,30.0
22,23,Viktor Arvidsson,27,NSH,LW,39,5,13,18,1,12,1.5,3,2,0,1,12,1,0,122,4.1,653,16:44,22,9,6,16,27.3
23,24,Rasmus Asplund,23,BUF,F,9,3,0,3,0,0,0.5,3,0,0,1,0,0,0,10,30.0,92,10:11,0,4,4,5,44.4
24,25,Zach Aston-Reese,26,PIT,C,27,8,2,10,9,13,1.5,7,0,1,0,2,0,0,46,17.4,392,14:31,13,51,3,5,37.5
25,26,Andreas Athanasiou,26,LAK,C,29,8,7,15,-7,13,1.6,8,0,0,1,6,1,0,51,15.7,425,14:39,9,6,2,0,100.0
26,27,Cam Atkinson,31,CBJ,RW,40,13,12,25,-9,4,2.4,8,1,4,2,6,6,0,116,11.2,749,18:44,19,18,4,16,20.0
27,28,Nicolas Aube-Kubel,24,PHI,RW,35,2,6,8,-4,34,0.1,2,0,0,0,6,0,0,35,5.7,399,11:23,12,92,1,2,33.3
28,29,David Backes,36,ANA,C,11,2,0,2,-4,2,0.0,2,0,0,1,0,0,0,25,8.0,147,13:22,14,23,63,64,49.6
29,30,Mikael Backlund,31,CGY,C,38,8,14,22,-9,20,1.8,7,0,1,0,8,5,1,104,7.7,656,17:16,16,34,248,244,50.4
30,31,Nicklas Backstrom,33,WSH,C,38,13,26,39,2,8,4.3,9,4,0,0,14,12,0,62,21.0,714,18:47,15,15,250,296,45.8
31,32,Josh Bailey,31,NYI,C,38,6,17,23,9,2,2.3,6,0,0,1,10,7,0,64,9.4,685,18:01,16,10,11,14,44.0
32,33,Justin Bailey,25,VAN,RW,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,6,0.0,20,6:48,0,2,0,0,
